Test,Function,Failed,Passed,Occurrence_Count,Failure_Count,Success_Count,Tarantula_Score,SBI_Score,Jaccard_Score,Ochiai_Score,Average_Score
testSerialization4,org/jfree/data/time/TimeSeriesCollection:getDomainBounds:(Z)Lorg/jfree/data/Range;,True,False,1,1.0,0.0,1.0,1.0,0.03125,0.17677669529663687,0.5520066738241592
testSerialization4,org/jfree/chart/ChartFactory:createTimeSeriesChart:(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Lorg/jfree/data/xy/XYDataset;)Lorg/jfree/chart/JFreeChart;,True,False,1,1.0,0.0,1.0,1.0,0.03125,0.17677669529663687,0.5520066738241592
testEquals,org/jfree/chart/plot/RingPlot:setCenterTextMode:(Lorg/jfree/chart/plot/CenterTextMode;)V,True,False,1,1.0,0.0,1.0,1.0,0.03125,0.17677669529663687,0.5520066738241592
testEquals,org/jfree/chart/plot/RingPlot:setCenterTextFont:(Ljava/awt/Font;)V,True,False,1,1.0,0.0,1.0,1.0,0.03125,0.17677669529663687,0.5520066738241592
testEquals,org/jfree/chart/plot/RingPlot:setCenterText:(Ljava/lang/String;)V,True,False,1,1.0,0.0,1.0,1.0,0.03125,0.17677669529663687,0.5520066738241592
testEquals,org/jfree/chart/plot/RingPlot:setSeparatorStroke:(Ljava/awt/Stroke;)V,True,False,1,1.0,0.0,1.0,1.0,0.03125,0.17677669529663687,0.5520066738241592
testEquals,org/jfree/chart/plot/RingPlot:setCenterTextFormatter:(Ljava/text/Format;)V,True,False,1,1.0,0.0,1.0,1.0,0.03125,0.17677669529663687,0.5520066738241592
testEquals,org/jfree/chart/annotations/CategoryTextAnnotation:setCategoryAnchor:(Lorg/jfree/chart/axis/CategoryAnchor;)V,True,False,1,1.0,0.0,1.0,1.0,0.03125,0.17677669529663687,0.5520066738241592
testEquals,org/jfree/chart/plot/RingPlot:setCenterTextColor:(Ljava/awt/Color;)V,True,False,1,1.0,0.0,1.0,1.0,0.03125,0.17677669529663687,0.5520066738241592
testEquals,org/jfree/chart/plot/RingPlot:setSeparatorsVisible:(Z)V,True,False,1,1.0,0.0,1.0,1.0,0.03125,0.17677669529663687,0.5520066738241592
testEquals,org/jfree/chart/renderer/category/AreaRenderer:setEndType:(Lorg/jfree/chart/renderer/AreaRendererEndType;)V,True,False,1,1.0,0.0,1.0,1.0,0.03125,0.17677669529663687,0.5520066738241592
testAutoRange1,org/jfree/chart/axis/LogAxis:autoAdjustRange:()V,False,True,4,2.0,2.0,0.9858532272325377,0.5,0.058823529411764705,0.17677669529663687,0.4303633629852348
testSerialization,org/jfree/chart/renderer/AreaRendererEndType:toString:()Ljava/lang/String;,False,True,4,2.0,2.0,0.9858532272325377,0.5,0.058823529411764705,0.17677669529663687,0.4303633629852348
testCloning,org/jfree/chart/renderer/xy/XYAreaRenderer:clone:()Ljava/lang/Object;,False,True,2,1.0,1.0,0.9858532272325377,0.5,0.030303030303030304,0.125,0.410289064383892
testCloning2,org/jfree/chart/axis/AxisSpace:clone:()Ljava/lang/Object;,True,False,2,1.0,1.0,0.9858532272325377,0.5,0.030303030303030304,0.125,0.410289064383892
